Label,FY 2023-24 INR,FY 2022-23 INR,YoY Change
Company,Nexaflow Technologies Pvt. Ltd.,,
Document Type,Audited Financial Statement,FY 2023-24,April 2023 to March 2024
Auditor,Sharma and Associates Chartered Accountants Bengaluru,,
Audit Opinion,QUALIFIED — See Note 7,,
Going Concern Note,Present — See Note 12,,
Section,PROFIT AND LOSS STATEMENT,,
Revenue from Operations,"4,20,00,000","7,80,00,000",-46.2%
Cloud Services Revenue,"2,10,00,000","4,20,00,000",-50.0%
Software Development Revenue,"1,50,00,000","2,60,00,000",-42.3%
IT Consulting Revenue,"60,00,000","1,00,00,000",-40.0%
Other Income,"8,50,000","12,00,000",-29.2%
Total Income,"4,28,50,000","7,92,00,000",-45.9%
Section,EXPENSES,,
Employee Benefit Expenses,"2,80,00,000","3,90,00,000",-28.2%
Subcontracting and Outsourcing Costs,"60,00,000","80,00,000",-25.0%
Server and Infrastructure Costs,"42,00,000","55,00,000",-23.6%
Depreciation and Amortisation,"18,00,000","22,00,000",-18.2%
Finance Costs,"24,00,000","18,00,000",+33.3%
Sales and Marketing Expenses,"12,00,000","28,00,000",-57.1%
Administrative and General Expenses,"22,50,000","30,00,000",-25.0%
Provision for Bad Debts,"38,00,000","5,00,000",+660.0%
Total Expenses,"4,96,50,000","6,28,00,000",-20.9%
Section,KEY METRICS,,
Profit or Loss Before Tax,"-68,00,000","1,64,00,000",N/A
Tax Expense Deferred Tax Asset,"50,00,000","58,00,000",
Profit or Loss After Tax,"18,00,000","1,06,00,000",-83.0%
EBITDA,"42,00,000","2,04,00,000",-79.4%
EBITDA Margin,10.0%,26.2%,
Section,BALANCE SHEET SUMMARY,,
Section,ASSETS,,
Fixed Assets Net,"1,20,00,000","1,45,00,000",
Intangible Assets,"35,00,000","48,00,000",
Trade Receivables,"2,80,00,000","3,10,00,000",
Cash and Cash Equivalents,"28,00,000","92,00,000",
Other Current Assets,"1,47,00,000","88,00,000",
Total Assets,"6,10,00,000","5,83,00,000",
Section,LIABILITIES,,
Long-Term Borrowings Bank,"2,20,00,000","1,80,00,000",
Short-Term Borrowings,"1,40,00,000","60,00,000",
Trade Payables,"1,22,00,000","98,00,000",
Other Current Liabilities,"98,00,000","1,05,00,000",
Total Liabilities,"5,80,00,000","4,43,00,000",
Section,EQUITY,,
Share Capital,"50,00,000","50,00,000",
Retained Earnings or Accumulated Deficit,"-20,00,000","90,00,000",
Total Equity,"30,00,000","1,40,00,000",
Total Liabilities and Equity,"6,10,00,000","5,83,00,000",
Debt-to-Equity Ratio,19.3x,1.7x,CRITICAL ANOMALY
Section,AUDITOR NOTES,,
Note 7 Qualified Opinion,Auditors unable to verify trade receivables of INR 1.10 Crores 35 clients due to non-receipt of external confirmations,,
Note 7 continued,Provision for bad debts of INR 38 lakhs may be understated,,
Note 12 Going Concern,Company incurred net loss before tax of INR 68 lakhs in FY 2023-24,,
Note 12 continued,Short-term borrowings increased by 133%,,
Note 12 continued,Material uncertainty about ability to continue as going concern,,
Note 12 continued,Management has prepared a turnaround plan attached separately,,
Section,REVENUE BREAKDOWN BY CLIENT TOP 5,,
Infosys BPM Ltd.,"98,00,000",23.3%,
Mphasis Ltd.,"72,00,000",17.1%,
Tata Elxsi Ltd.,"58,00,000",13.8%,
Client D Confidential,"45,00,000",10.7%,
Client E Confidential,"32,00,000",7.6%,
Others 17 clients,"1,15,00,000",27.4%,
Section,CERTIFICATION,,
Certified by,Rajiv Menon Managing Director Nexaflow Technologies Pvt. Ltd.,,
Certification Date,25 September 2024,,
Auditor,Sharma and Associates Chartered Accountants Membership No. 112847,,
Audit Report Date,30 September 2024,,
